index,mmr_ancestors,mmr_samples,mean_iqs,median_iqs,perc_et_100_iqs,perc_gt_90_iqs,perc_gt_80_iqs,perc_gt_70_iqs
48,2,-2,0.8916252837680461,1.0,0.5798908807482464,0.8063133281371785,0.8690568978955573,0.8928293063133281
49,2,-1,0.896307721483749,1.0,0.5710862619808307,0.8083067092651757,0.8642172523961661,0.896964856230032
50,2,0,0.895089593265003,1.0,0.564,0.8064,0.8644,0.8956
51,2,1,0.8949323061556302,1.0,0.5647106109324759,0.8066720257234726,0.8641479099678456,0.895096463022508
52,2,2,0.8840925712130331,0.9798994975,0.4007398273736128,0.7875051376900946,0.8586107685984381,0.8882038635429511
53,2,3,0.881044321506624,0.9796334012,0.4182590233545648,0.7898089171974523,0.8607218683651805,0.89171974522293
54,2,4,0.8563010031682688,0.9330431871,0.23688969258589512,0.6613924050632911,0.8435804701627486,0.8788426763110307
55,2,-7,0.8954625587394853,1.0,0.6073825503355704,0.8381804623415362,0.8784489187173751,0.8956002982848621
56,2,-6,0.8954312273918312,1.0,0.607609101081686,0.8381201044386423,0.8784035807534502,0.8955613577023499
57,2,-5,0.8953922091930968,1.0,0.6074626865671642,0.8380597014925373,0.8783582089552239,0.8955223880597015
58,2,-4,0.89149652587145,1.0,0.6071561684681327,0.8266865449124114,0.8736489004845323,0.8911666045471487
59,2,-3,0.8937975583138935,1.0,0.6006813020439061,0.8168054504163512,0.8720666161998486,0.8921271763815292
60,3,-2,0.8889280726259532,1.0,0.5908353609083536,0.7984590429845905,0.8605028386050284,0.8925385239253852
61,3,-1,0.892683975773874,1.0,0.5717238528317486,0.8011575031004547,0.8594460520876395,0.8962381149235221
62,3,0,0.8913576614283936,1.0,0.5653973509933775,0.7868377483443708,0.8576158940397351,0.8948675496688742
63,3,1,0.8911420659373958,1.0,0.5657237936772047,0.7870216306156406,0.8573211314475874,0.8943427620632279
64,3,2,0.8797538559736707,0.9796334012,0.45605095541401275,0.7698513800424629,0.8543524416135881,0.89171974522293
65,3,3,0.8758107376012794,0.9784389823,0.39321884632320564,0.7653016292382211,0.8577719066490532,0.8868339938353148
66,3,4,0.8587944673803719,0.9538319483,0.23619489559164733,0.6686774941995359,0.8445475638051044,0.88584686774942
